timestamp,symbol,predicted_direction,confidence,entry_price,status,actual_result
2025-11-19 14:35,ETHUSDT,BUY,0.53,3091.6,WRONG,3091.6
2025-11-19 15:30,ETHUSDT,BUY,0.54,3079.85,WRONG,3079.85
